"","carat","cut","color","clarity","depth","table","price","x","y","z"
"50",0.38,"Ideal","E","VVS1",61.8,56,1211,4.67,4.62,2.87
"51",1.52,"Ideal","F","SI1",61.5,55,12364,7.41,7.44,4.57
"52",0.54,"Very Good","F","VS2",62,59,1889,5.16,5.22,3.22
"53",0.26,"Very Good","F","VS1",59.5,58,453,4.18,4.23,2.5
"54",0.4,"Very Good","F","SI1",62.1,57,687,4.65,4.69,2.9
"55",1.03,"Premium","G","VVS2",60.4,59,7729,6.58,6.56,3.97
"56",0.4,"Ideal","D","VS2",61.7,56,1172,4.72,4.74,2.92
"57",0.34,"Ideal","E","SI1",60.4,57,723,4.53,4.55,2.74
"58",0.7,"Good","J","SI2",61.2,64,1824,5.68,5.73,3.49
"59",1.07,"Ideal","E","SI2",61.6,55,4564,6.62,6.59,4.07
"60",0.7,"Very Good","F","VS2",61.1,62,2250,5.64,5.69,3.46
"61",0.52,"Ideal","D","VS2",61.8,57,1752,5.16,5.2,3.2
"62",0.67,"Good","F","VS1",64.4,57,2244,5.55,5.6,3.6
"63",0.51,"Very Good","G","VS2",59.1,60,1417,5.18,5.21,3.07
"64",1.14,"Ideal","H","VS2",62.6,53,6753,6.67,6.72,4.19
"65",0.74,"Ideal","F","SI2",60.6,57,2555,5.88,5.84,3.55
"66",1.01,"Premium","E","VS2",60.8,60,6606,6.46,6.43,3.92
"67",0.9,"Premium","I","VS2",59.8,61,3431,6.22,6.13,3.69
"68",0.38,"Ideal","E","VS2",61.5,55,813,4.67,4.7,2.88
"69",0.75,"Ideal","E","SI2",62.1,57,2278,5.81,5.85,3.62
"70",1.01,"Premium","D","VS2",59.2,56,6108,6.48,6.43,3.82
"71",0.43,"Premium","G","IF",61.1,58,1433,4.86,4.89,2.98
"72",0.78,"Very Good","E","SI1",59.8,57,3385,5.98,6.02,3.59
"73",0.31,"Ideal","F","VS2",61.3,57,625,4.3,4.34,2.65
"74",1.32,"Ideal","E","SI2",62.7,56,7037,7.03,6.97,4.39
"75",0.51,"Very Good","I","VS1",62.5,59,1301,5.1,5.14,3.2
"76",0.71,"Very Good","G","VS1",63.5,55,2803,5.66,5.64,3.59
"77",1.22,"Premium","G","SI2",60.2,58,5534,6.92,6.9,4.16
"78",0.78,"Very Good","J","SI1",59.4,62,2035,6.01,6.05,3.58
"79",1.01,"Very Good","G","VS1",62.8,58,6152,6.34,6.37,3.99
"80",1.19,"Premium","H","SI1",62.7,56,5802,6.76,6.7,4.22
"81",0.49,"Premium","H","VS2",59.5,62,1103,5.14,5.12,3.05
"82",1.27,"Good","J","SI2",66,59,4542,6.71,6.75,4.44
"83",0.7,"Premium","E","VS1",60.3,58,2930,5.7,5.74,3.45
"84",0.7,"Very Good","G","VS2",62.2,61,2633,5.54,5.59,3.46
"85",1.19,"Premium","I","SI2",62.6,58,4498,6.82,6.69,4.23
"86",1.59,"Fair","I","SI2",65.2,58,7080,7.28,7.24,4.73
"87",1.14,"Ideal","E","VVS2",62.3,55,10512,6.68,6.71,4.17
"88",0.41,"Very Good","F","VVS1",58.9,58,1295,4.84,4.87,2.86
"89",0.27,"Ideal","G","VS2",61.6,54,490,4.17,4.2,2.58
"90",0.52,"Ideal","G","VVS2",61.4,57,1847,5.17,5.19,3.18
"91",2.04,"Ideal","J","SI1",61.7,57,14130,8.11,8.17,5.02
"92",0.24,"Very Good","F","VVS2",62.3,58,552,3.95,3.98,2.47
"93",0.4,"Premium","E","SI1",62.2,58,737,4.71,4.74,2.94
"94",0.25,"Ideal","G","VVS2",61.5,56,525,4.06,4.08,2.5
"95",1.2,"Ideal","H","SI1",61.1,56,6968,6.92,6.87,4.21
"96",1.51,"Good","E","SI1",63.1,58,11460,7.23,7.28,4.58
"97",0.32,"Very Good","G","VVS1",60.9,61,842,4.37,4.4,2.67
"98",0.9,"Ideal","J","VS1",62.5,55,3175,6.18,6.14,3.85
"99",1,"Fair","G","VS1",63.1,63,4630,6.38,6.29,4
"100",0.5,"Good","F","VS1",56.4,62,1390,5.31,5.22,2.97
"101",1.18,"Premium","G","SI2",61.4,58,5190,6.82,6.77,4.17
"102",1.07,"Ideal","H","SI1",62,57,4918,6.56,6.51,4.05
"103",1.15,"Ideal","F","SI2",60.6,58,5635,6.75,6.79,4.1
"104",0.4,"Premium","E","VS1",62.8,59,1125,4.67,4.63,2.92
"105",0.9,"Fair","E","SI1",64.9,56,3743,6.12,6.18,3.99
"106",0.53,"Ideal","D","VS2",60.9,57,1877,5.24,5.17,3.17
"107",1.03,"Ideal","F","VVS2",61.6,56,8860,6.53,6.46,4
"108",1.21,"Very Good","I","VS1",61.2,58,5866,6.85,6.91,4.21
"109",0.33,"Ideal","E","VS2",61.3,55,723,4.46,4.48,2.74
"110",0.57,"Ideal","D","VVS1",61.6,56,3126,5.33,5.35,3.29
"111",0.3,"Premium","E","VS1",61.3,59,710,4.28,4.33,2.64
"112",0.31,"Ideal","H","VVS2",61.3,56,778,4.37,4.4,2.69
"113",1.01,"Very Good","D","VVS1",63.9,56,11923,6.32,6.36,4.05
"114",1.5,"Premium","G","SI2",62,62,8190,7.31,7.25,4.51
"115",0.44,"Premium","G","SI1",60.1,60,772,4.86,4.95,2.95
"116",0.71,"Ideal","I","VS2",62.2,55,2681,5.71,5.73,3.56
"117",0.56,"Premium","E","VS2",61.9,55,1915,5.31,5.25,3.27
"118",1.01,"Fair","D","SI1",66,57,5385,6.29,6.22,4.13
"119",1.5,"Good","I","SI1",64,60,8580,7.13,7.25,4.6
"120",0.9,"Very Good","F","SI2",63.4,60,3465,6.06,6.09,3.85
"121",0.3,"Ideal","G","VVS2",62.7,57,878,4.32,4.26,2.69
"122",1.09,"Premium","I","SI1",61.6,61,3968,6.64,6.57,4.07
"123",0.71,"Ideal","E","SI2",59.3,56,2388,5.89,5.84,3.48
"124",0.4,"Ideal","F","VS2",60.6,55,1080,4.82,4.78,2.91
"125",0.54,"Ideal","I","SI1",62.1,54,1057,5.24,5.26,3.26
"126",2.16,"Ideal","F","I1",61,57,9036,8.4,8.32,5.1
"127",0.41,"Ideal","D","SI1",61.7,54,1015,4.79,4.78,2.95
"128",0.9,"Premium","I","VS2",58.4,62,3276,6.35,6.29,3.69
"129",1,"Premium","D","VVS2",61.3,58,9660,6.42,6.37,3.92
"130",0.35,"Premium","E","SI1",61.2,58,788,4.59,4.53,2.79
"131",0.41,"Very Good","E","SI2",62.9,58,683,4.74,4.77,2.99
"132",0.5,"Fair","G","VS1",67,61,1280,4.97,4.91,3.31
"133",0.32,"Ideal","H","VVS2",61.8,55,828,4.42,4.38,2.72
"134",0.31,"Premium","G","VVS1",61.2,59,816,4.32,4.34,2.65
"135",2.52,"Fair","G","I1",66.9,57,10076,8.39,8.33,5.6
"136",1.21,"Very Good","H","SI1",62.8,56,6022,6.8,6.83,4.28
"137",2,"Very Good","I","SI2",63.7,61,12221,7.85,7.97,5.04
"138",0.61,"Premium","G","VS1",62.7,57,2192,5.43,5.36,3.38
"139",0.32,"Ideal","H","VVS2",59.8,57,628,4.48,4.52,2.69
"140",0.53,"Ideal","G","SI1",62.3,55,1308,5.13,5.24,3.23
"141",0.43,"Premium","F","VVS2",61.6,60,1169,4.82,4.86,2.98
"142",0.43,"Premium","D","SI1",61,58,993,4.88,4.83,2.96
"143",1.5,"Premium","G","SI1",61.2,58,9645,7.34,7.44,4.52
"144",0.35,"Very Good","H","SI1",60,61,491,4.57,4.6,2.75
"145",0.64,"Very Good","G","SI1",64,53.8,1665,5.49,5.53,3.53
"146",0.33,"Premium","G","SI1",61.1,59,631,4.45,4.42,2.71
"147",0.71,"Fair","E","SI1",64.7,59,2352,5.61,5.58,3.62
"148",0.35,"Very Good","E","VS2",58.9,59,767,4.59,4.64,2.72
"149",1.02,"Very Good","I","SI2",62.8,56,3980,6.42,6.38,4.02
"150",0.31,"Ideal","E","VS2",61.7,56,680,4.31,4.35,2.67
"151",1.35,"Very Good","I","SI2",58.6,63,5579,7.28,7.19,4.24
"152",1.03,"Very Good","G","SI2",63,57,4315,6.4,6.42,4.04
"153",1,"Good","J","VS2",58.7,61,3769,6.5,6.52,3.82
"154",1.51,"Premium","E","VS2",60.7,60,14709,7.37,7.46,4.5
"155",0.51,"Very Good","G","VS2",63.4,55,1443,5.06,5.03,3.2
"156",2.14,"Ideal","E","SI2",62.7,55,13065,8.26,8.21,5.16
"157",0.32,"Ideal","I","VS1",61.3,56,523,4.43,4.45,2.72
"158",0.56,"Very Good","F","VS2",60.8,57,1706,5.29,5.33,3.23
"159",0.3,"Premium","J","VS2",60.6,59,368,4.34,4.38,2.64
"160",0.91,"Ideal","E","SI2",60.8,56,3968,6.25,6.29,3.81
"161",0.42,"Ideal","I","VVS1",62.4,57,945,4.83,4.79,3
"162",0.71,"Ideal","I","VS1",61.3,57,2965,5.73,5.76,3.52
"163",0.8,"Premium","J","VS1",61.6,60,2202,5.94,5.88,3.64
"164",1,"Very Good","G","VS2",63,59,5702,6.36,6.4,4.02
"165",1.01,"Ideal","G","VS2",61.9,55,6108,6.49,6.46,4.01
"166",0.36,"Ideal","H","VS2",61.4,57,587,4.59,4.63,2.83
"167",1,"Very Good","H","SI1",61.8,57,4995,6.39,6.42,3.96
"168",1.02,"Very Good","F","SI2",59.6,59,3974,6.51,6.54,3.89
"169",1.11,"Good","D","SI2",58,62,5015,6.77,6.81,3.94
"170",0.37,"Ideal","E","VVS2",62.2,56,844,4.6,4.63,2.87
"171",0.31,"Good","G","VVS1",63.5,57,816,4.3,4.33,2.74
"172",0.52,"Premium","G","VS1",62.4,59,1815,5.16,5.13,3.21
"173",1.45,"Very Good","F","VS2",62.6,58,11667,7.12,7.2,4.48
"174",0.31,"Very Good","E","SI1",63.1,57,698,4.35,4.3,2.73
"175",1.5,"Premium","F","VS2",61.6,58,14199,7.37,7.31,4.52
"176",1,"Very Good","E","VS1",62.3,53,7528,6.35,6.39,3.97
"177",0.35,"Ideal","D","SI1",62.3,57,644,4.5,4.52,2.81
"178",0.53,"Ideal","F","VVS2",62.3,56,1943,5.2,5.24,3.25
"179",1.65,"Fair","J","SI1",61.6,66,5914,7.61,7.47,4.66
"180",1.24,"Premium","F","VS2",62.2,58,9411,6.89,6.84,4.27
"181",0.97,"Ideal","I","I1",61.6,53,2239,6.4,6.43,3.95
"182",0.3,"Ideal","G","VS2",62.3,56,526,4.27,4.3,2.67
"183",0.7,"Ideal","J","SI1",60.4,56,1926,5.71,5.74,3.46
"184",0.3,"Ideal","G","VVS1",61.7,57,878,4.34,4.31,2.67
"185",2.02,"Premium","J","VS2",62.1,59,14330,8.08,7.98,4.99
"186",0.32,"Ideal","I","VS2",60.6,56,485,4.42,4.46,2.69
"187",0.61,"Very Good","H","VVS2",61.4,57,1970,5.46,5.5,3.36
"188",0.6,"Premium","E","SI1",61.9,58,1738,5.39,5.43,3.35
"189",1.7,"Very Good","H","SI2",60.8,56,10255,7.67,7.72,4.68
"190",0.56,"Premium","F","SI2",60.4,60,1286,5.35,5.32,3.22
"191",0.3,"Premium","I","VS1",62,58,608,4.3,4.25,2.65
"192",1.23,"Very Good","G","VVS2",62,58,9803,6.77,6.82,4.21
"193",1.17,"Very Good","E","SI2",62.5,59,5163,6.65,6.7,4.17
"194",0.51,"Very Good","F","VS2",62,58,1601,5.08,5.11,3.16
"195",1.7,"Ideal","H","I1",62.6,54.1,7068,7.58,7.63,4.77
"196",1.7,"Premium","I","VS2",62.4,58,10910,7.61,7.56,4.73
"197",0.34,"Very Good","G","VS2",63.1,57,765,4.47,4.43,2.81
"198",0.32,"Ideal","E","VVS1",61.7,55,954,4.39,4.42,2.72
"199",1.63,"Good","F","SI1",59.8,56,13187,7.57,7.64,4.55
"200",0.37,"Very Good","F","VS2",63.3,56,957,4.63,4.56,2.91
"201",1.71,"Very Good","H","VS2",58.8,60,12493,7.8,7.85,4.6
"202",1.05,"Very Good","G","VS1",61.8,58,6766,6.5,6.55,4.03
"203",0.5,"Very Good","E","SI2",61.5,58,1077,5.03,5.09,3.11
"204",0.75,"Very Good","F","SI1",62.1,57,2500,5.82,5.88,3.63
"205",0.9,"Premium","F","SI2",62.7,58,3780,6.16,6.09,3.84
"206",0.91,"Ideal","F","SI2",60.3,57,3763,6.26,6.34,3.8
"207",1.22,"Ideal","E","SI1",61.7,56,7215,6.92,6.88,4.26
"208",0.55,"Very Good","D","VS2",62.8,57,1799,5.24,5.27,3.3
"209",0.25,"Very Good","E","VS2",63.3,56,436,4.01,4.05,2.55
"210",1.75,"Good","H","SI2",64.1,56,8385,7.59,7.55,4.85
"211",0.74,"Ideal","J","VVS2",61.7,55,2106,5.83,5.87,3.61
"212",1.18,"Very Good","I","IF",63.3,58,6867,6.69,6.73,4.25
"213",0.41,"Ideal","I","IF",62.6,57,1076,4.78,4.74,2.98
"214",1.01,"Premium","G","VVS2",60.9,59,6843,6.54,6.59,4
"215",0.35,"Ideal","F","VS2",62.5,57,906,4.53,4.5,2.82
"216",0.32,"Ideal","F","VS1",61.9,56,702,4.35,4.4,2.71
"217",0.23,"Very Good","E","VVS1",63.5,54,530,3.92,3.95,2.5
"218",0.51,"Premium","F","VVS1",62.6,57,2341,5.1,5.06,3.18
"219",0.71,"Ideal","G","SI1",62.5,57,2604,5.67,5.69,3.55
"220",0.61,"Very Good","E","VS1",61.1,58,2243,5.47,5.52,3.36
"221",1,"Good","I","SI1",65.6,56,4042,6.23,6.3,4.11
"222",1.05,"Ideal","H","SI2",61.2,57,4410,6.59,6.54,4.02
"223",0.35,"Ideal","H","VVS1",62,53.9,743,4.5,4.53,2.8
"224",0.9,"Ideal","F","SI1",61.8,58,4795,6.21,6.24,3.85
"225",0.3,"Ideal","F","VVS1",61.8,57,814,4.3,4.34,2.67
"226",1.01,"Ideal","E","VVS1",62,57,10954,6.39,6.45,3.98
"227",0.7,"Ideal","G","SI2",62.4,56,2092,5.65,5.67,3.53
"228",0.9,"Very Good","D","SI1",62.8,59,4693,6.14,6.18,3.87
"229",0.32,"Ideal","F","VVS1",61.5,56,947,4.44,4.45,2.73
"230",1.1,"Very Good","F","SI1",58.9,63,5769,6.73,6.78,3.98
"231",0.77,"Very Good","F","VVS2",60.6,60,3917,5.89,5.92,3.58
"232",2.26,"Ideal","I","SI1",62.4,57,16904,8.43,8.37,5.24
"233",0.92,"Good","F","SI1",64,56,4326,6.12,6.17,3.93
"234",0.34,"Ideal","G","VVS2",61.1,57,775,4.48,4.52,2.75
"235",0.38,"Ideal","D","VVS2",61.5,57,1200,4.63,4.67,2.86
"236",0.5,"Ideal","D","SI1",61.7,56,1623,5.16,5.11,3.17
"237",1.12,"Ideal","H","SI1",62,57,5363,6.69,6.64,4.13
"238",1.36,"Ideal","H","VS2",59.9,57,9279,7.2,7.22,4.32
"239",1.51,"Premium","G","SI1",58.7,60,10020,7.55,7.48,4.41
"240",1.01,"Premium","D","VS1",61.6,58,8823,6.44,6.42,3.96
"241",0.34,"Ideal","D","SI1",62,56,626,4.47,4.5,2.78
"242",0.31,"Premium","H","VVS2",61.2,60,802,4.39,4.37,2.68
"243",0.4,"Premium","G","SI1",59.4,60,870,4.85,4.82,2.87
"244",0.76,"Premium","E","VS2",63,59,3107,5.79,5.76,3.64
"245",0.33,"Ideal","G","VS1",62.1,56,666,4.4,4.42,2.74
"246",1.06,"Ideal","F","IF",61,57,11195,6.64,6.55,4.02
"247",1.07,"Very Good","H","VS1",62.5,56,5661,6.52,6.6,4.1
"248",0.32,"Premium","E","VVS2",59.9,58,1080,4.5,4.45,2.68
"249",1.58,"Premium","F","SI1",61.4,61,12512,7.48,7.45,4.58
"250",2.51,"Ideal","H","SI2",62,57,17162,8.72,8.67,5.39
"251",0.59,"Ideal","D","IF",60.7,58,4161,5.45,5.49,3.32
"252",1.04,"Ideal","E","VVS2",62.9,55,10019,6.47,6.51,4.08
"253",1.12,"Ideal","G","VS2",62.1,55,7364,6.64,6.67,4.13
"254",0.56,"Premium","G","SI2",59.6,58,1103,5.42,5.35,3.21
"255",1.26,"Premium","J","SI1",61.8,58,5080,6.91,6.88,4.26
"256",0.31,"Premium","D","SI1",58.5,59,537,4.49,4.44,2.61
"257",0.41,"Ideal","H","VS1",61.8,56,962,4.78,4.73,2.94
"258",1.25,"Ideal","F","VS2",62.8,57,8764,6.87,6.85,4.31
"259",1.02,"Good","J","SI2",63.1,58,3298,6.34,6.38,4.01
"260",1.01,"Premium","J","VS2",62.4,60,3296,6.45,6.35,3.99
"261",0.31,"Very Good","E","SI2",60.8,61,435,4.39,4.43,2.68
"262",0.53,"Premium","G","VS1",63,58,1727,5.17,5.15,3.25
"263",1.77,"Very Good","D","SI1",59.2,61,14561,7.86,7.98,4.69
"264",1.21,"Premium","E","SI1",62.6,58,7334,6.82,6.79,4.26
"265",0.76,"Premium","F","SI2",61.8,58,2469,5.83,5.88,3.62
"266",0.7,"Ideal","E","VS2",60.7,58,2762,5.73,5.76,3.49
"267",0.51,"Ideal","E","SI2",63,56,1170,5.14,5.12,3.23
"268",0.4,"Ideal","F","VVS1",61.4,56,1168,4.77,4.81,2.94
"269",1.21,"Very Good","I","SI1",63.3,60,4404,6.76,6.69,4.26
"270",1,"Premium","F","SI2",62.4,61,4155,6.34,6.32,3.95
"271",1.11,"Very Good","G","VS2",62.2,55,6593,6.61,6.67,4.13
"272",0.42,"Ideal","G","VVS1",60,57,1179,4.84,4.86,2.91
"273",1.8,"Ideal","H","VS1",62.3,56,14968,7.76,7.79,4.84
"274",0.33,"Ideal","H","IF",62,55,838,4.46,4.48,2.77
"275",1.02,"Very Good","G","VS1",62,59,6126,6.39,6.45,3.98
"276",0.31,"Ideal","F","VVS2",61.2,56,977,4.39,4.37,2.68
"277",0.31,"Premium","H","VS1",62.6,60,544,4.3,4.32,2.7
"278",0.33,"Very Good","H","VVS2",61.8,57,614,4.43,4.46,2.74
"279",1.05,"Ideal","H","VS2",61.4,55,5993,6.53,6.57,4.02
"280",0.65,"Very Good","F","SI1",60,63,1814,5.62,5.54,3.35
"281",0.71,"Ideal","D","VS2",61.4,56,3234,5.74,5.79,3.54
"282",0.73,"Ideal","I","VVS2",62.3,55,2519,5.77,5.76,3.59
"283",0.41,"Ideal","D","SI1",61.9,55,744,4.77,4.8,2.96
"284",1.52,"Very Good","I","SI1",62.6,60,8703,7.3,7.33,4.58
"285",0.44,"Good","E","SI1",63.4,57,756,4.81,4.85,3.06
"286",1.01,"Very Good","F","VS2",63.2,59,6540,6.3,6.36,4
"287",0.82,"Very Good","D","SI1",63.1,58,2954,5.97,5.95,3.76
"288",0.3,"Very Good","E","SI1",62.4,58,526,4.24,4.28,2.66
"289",0.28,"Very Good","F","VVS1",60.1,59,642,4.24,4.25,2.55
"290",1.25,"Ideal","H","SI2",62.2,55.4,5932,6.89,6.94,4.29
"291",2.53,"Fair","H","SI2",64.6,59,17103,8.54,8.45,5.4
"292",0.71,"Ideal","E","VS2",62.5,56,3304,5.69,5.71,3.56
"293",0.32,"Ideal","G","VVS1",62.4,55,842,4.37,4.38,2.73
"294",0.33,"Ideal","E","VS2",62.3,55,928,4.46,4.43,2.77
"295",1.01,"Premium","G","VS2",61.2,58,5759,6.46,6.49,3.96
"296",0.71,"Ideal","H","IF",61.2,56,3146,5.74,5.79,3.53
"297",1.2,"Ideal","I","VS1",62.5,55,6639,6.76,6.81,4.24
"298",0.43,"Good","D","SI2",63.3,57,669,4.79,4.82,3.04
"299",0.33,"Ideal","F","VVS1",60.6,56,939,4.47,4.51,2.72
"300",1.21,"Ideal","I","VS1",60.5,58,6292,6.95,6.89,4.19
"301",0.51,"Ideal","G","VS1",61.2,55,1634,5.15,5.19,3.16
"302",0.73,"Very Good","E","SI1",63.2,58,2821,5.76,5.7,3.62
"303",0.33,"Ideal","D","VS2",61.9,57,1002,4.47,4.42,2.75
"304",0.3,"Premium","H","SI2",61.9,60,378,4.27,4.29,2.65
"305",1.01,"Premium","I","SI2",61.9,58,3054,6.45,6.41,3.98
"306",0.43,"Premium","D","SI1",60.1,58,1064,4.93,4.89,2.95
"307",0.38,"Good","D","VS2",63.4,55,871,4.63,4.67,2.95
"308",1,"Fair","E","SI1",57.4,62,5212,6.54,6.59,3.77
"309",2.02,"Fair","I","SI2",64.5,60,12592,7.94,7.82,5.08
"310",1.25,"Premium","H","VS1",62,59,8099,6.88,6.84,4.25
"311",0.26,"Ideal","I","VS1",62.1,55,434,4.11,4.13,2.56
"312",1.3,"Premium","J","VVS2",62.9,60,6405,6.91,6.86,4.33
"313",0.9,"Very Good","J","VS2",63.5,56,3145,6.12,6.1,3.88
"314",0.52,"Ideal","D","VS2",62.3,56,1822,5.11,5.16,3.2
"315",0.57,"Ideal","E","VVS2",62,57,2447,5.29,5.33,3.29
"316",0.7,"Very Good","D","SI1",59.4,63,2628,5.78,5.76,3.43
"317",0.3,"Premium","D","VS2",60.6,59,911,4.36,4.28,2.62
"318",0.52,"Ideal","F","VS1",62.2,55,1872,5.18,5.14,3.21
"319",0.9,"Very Good","G","VS2",62.7,59,4543,6.09,6.16,3.84
"320",0.39,"Premium","G","VS2",61.2,60,787,4.68,4.73,2.88
"321",0.4,"Premium","F","VS1",61.4,58,982,4.73,4.75,2.91
"322",0.32,"Ideal","D","VS2",61.5,56,758,4.41,4.44,2.72
"323",1.51,"Ideal","F","SI1",62.4,56,11950,7.34,7.4,4.6
"324",0.71,"Good","I","VS1",64.2,56,2161,5.62,5.66,3.62
"325",1.7,"Premium","I","SI2",59.4,59,7250,7.83,7.75,4.63
"326",1.25,"Premium","I","VS2",62.2,57,5925,6.92,6.84,4.28
"327",0.43,"Ideal","G","IF",61.6,57,1280,4.81,4.84,2.97
"328",0.54,"Very Good","G","IF",62.5,58,2128,5.19,5.27,3.27
"329",0.33,"Premium","I","IF",59,61,891,4.56,4.49,2.67
"330",0.43,"Ideal","F","SI1",61.6,57,792,4.8,4.85,2.97
"331",0.33,"Very Good","D","VS1",60.3,61,727,4.48,4.51,2.71
"332",0.38,"Very Good","G","VS2",59.2,60,766,4.7,4.73,2.79
"333",0.32,"Ideal","J","IF",62.2,55,684,4.44,4.4,2.75
"334",0.31,"Ideal","I","VVS1",61.2,55.6,536,4.33,4.38,2.67
"335",2.3,"Ideal","I","SI1",62.2,60,17193,8.43,8.39,5.23
"336",0.61,"Ideal","H","VVS2",60.2,57,1911,5.53,5.47,3.31
"337",0.7,"Very Good","D","SI1",62.5,63,2374,5.7,5.63,3.54
"338",1.01,"Premium","D","SI2",60.8,61,4338,6.5,6.45,3.94
"339",0.3,"Very Good","G","VVS1",63.5,57,1013,4.27,4.24,2.7
"340",1.6,"Ideal","H","SI2",62.1,56,9444,7.51,7.43,4.64
"341",0.4,"Ideal","D","VS2",62.3,57,1050,4.75,4.72,2.95
"342",1.21,"Premium","H","VS1",61.9,60,6607,6.88,6.78,4.23
"343",0.51,"Very Good","F","VS1",60.8,59,1961,5.15,5.18,3.14
"344",0.31,"Premium","D","VS2",62.5,52,816,4.4,4.37,2.74
"345",0.5,"Ideal","F","VVS2",61.6,56,2160,5.11,5.08,3.14
"346",0.41,"Premium","D","SI2",61.9,58,876,4.73,4.71,2.92
"347",1,"Very Good","F","VS2",61.6,56,6013,6.42,6.47,3.97
"348",0.3,"Very Good","F","VS2",63,55,524,4.28,4.29,2.7
"349",0.77,"Good","H","VVS1",63.1,57,3096,5.83,5.86,3.69
"350",0.4,"Ideal","E","VVS1",60.6,56,1031,4.77,4.8,2.9
"351",0.9,"Good","F","SI2",63.2,56,3318,6.15,6.2,3.9
"352",1.1,"Ideal","F","VS1",61.5,59,8796,6.63,6.58,4.06
"353",0.71,"Premium","H","VS2",60.9,58,2363,5.72,5.77,3.5
"354",0.4,"Premium","D","SI1",61.1,58,990,4.75,4.74,2.9
"355",1.52,"Premium","D","SI2",60.2,60,8897,7.46,7.4,4.47
